,Accueil téléphonique,,,,,Message téléphonique,,,Site internet,,,,Locaux,,,Accueil physique,,,,Prestation,,,,,,,
(Insatisfaits + Très insatisfaits) / Total ayant donné un avis,Rapidité ,Amabilité,Ecoute,Compréhension,Orientation,Clarté,Mention des horaires,Possibilité de laisser un message,Facilité d'accès,Clarté de l'information,Navigation,Démarche en ligne,Signalétique,Accessibilité,Espaces d'attente,Orientation,Propreté,Horaires,Délai d'attente,Amabilité,Compréhension,Ecoute,Confidentialité,Disponibilité,Rapidité,Conseils d'un agent,Respect horaire RDV
2009 VQ - HdV2009 VQ - HdV2009 VQ - HdV2009 VQ - HdV2009 VQ - HdV2009 VQ - HdV,17%,12%,10%,,11%,,,,,,,,11%,11%,,13%,9%,14%,25%,14%,,14%,14%,16%,18%,,
Total ayant donné un avis,171,171,168,,166,,,,,,,,185,184,,190,190,187,191,192,,190,190,193,192,,
2010 VQ - HdV2010 VQ - HdV2010 VQ - HdV2010 VQ - HdV2010 VQ - HdV,25%,23%,23%,,20%,,,,,,25%,,18%,15%,,22%,16%,28%,26%,22%,,21%,18%,23%,26%,,
Total ayant donné un avis,87,88,86,,83,,,,,,52,,92,96,,94,97,95,98,97,,96,96,95,96,,
2011 VQ - HdV2011 VQ - HdV2011 VQ - HdV2011 VQ - HdV2011 VQ - HdV,25%,18%,27%,,9%,,,,,,20%,,12%,11%,,2%,17%,12%,11%,6%,,6%,8%,6%,4%,,
Total ayant donné un avis,12,11,11,,11,,,,,,35,,51,46,,53,48,49,47,53,,49,48,50,49,,
2012 VQ - HdV2012 VQ - HdV2012 VQ - HdV2012 VQ - HdV2012 VQ - HdV,23%,7%,11%,12%,6%,16%,12%,38%,,23%,23%,62%,26%,4%,15%,9%,7%,7%,16%,7%,3%,7%,8%,8%,10%,12%,5%
Total ayant donné un avis,66,62,63,63,30,24,25,13,,65,64,50,217,211,228,123,230,238,230,228,221,228,231,229,222,107,79
2013 VQ - HdV2013 VQ - HdV2013 VQ - HdV2013 VQ - HdV2013 VQ - HdV,5%,3%,6%,8%,13%,43%,28%,32%,13%,16%,19%,68%,15%,0%,10%,3%,0%,20%,13%,9%,3%,6%,8%,10%,12%,3%,
Total ayant donné un avis,33,32,32,32,16,7,7,19,63,63,62,55,195,173,199,34,200,200,196,201,202,201,201,200,198,46,
