,Accueil téléphonique,,,,,Message téléphonique,,,Site internet,,,,Locaux,,,Accueil physique,,,,Prestation,,,,,,,
(Insatisfaits + Très insatisfaits) / Total ayant donné un avis,Rapidité ,Amabilité,Ecoute,Compréhension,Orientation,Clarté,Mention des horaires,Possibilité de laisser un message,Facilité d'accès,Clarté de l'information,Navigation,Démarche en ligne,Signalétique,Accessibilité,Espaces d'attente,Orientation,Propreté,Horaires,Délai d'attente,Amabilité,Compréhension,Ecoute,Confidentialité,Disponibilité,Rapidité,Conseils d'un agent,Respect horaire RDV
2009 DUOP,11%,11%,14%,,15%,,,,,,,,35%,70%,,22%,24%,15%,12%,10%,,15%,25%,10%,17%,,
2009 DUOP Total ayant donné un avis,38,38,36,,34,,,,,,,,17,43,,41,41,40,41,41,,40,44,41,41,,
2010 DUOP,0%,4%,0%,,0%,,,,,,40%,,56%,33%,,8%,9%,12%,0%,8%,,4%,18%,4%,4%,,
2010 DUOP Total ayant donné un avis,23,23,23,,22,,,,,,15,,45,24,,24,23,24,24,24,,24,22,24,24,,
2011 DUOP,0%,0%,0%,,0%,,,,,,0%,,33%,33%,,0%,17%,0%,0%,0%,,0%,0%,0%,0%,,
2011 DUOP Total ayant donné un avis,4,4,4,,4,,,,,,3,,6,6,,6,6,6,6,6,,6,6,6,6,,
2012 DUOP,13%,0%,6%,19%,18%,50%,50%,100%,,20%,40%,33%,62%,6%,6%,16%,18%,16%,5%,3%,3%,0%,9%,3%,3%,21%,17%
2012 DUOP Total ayant donné un avis,16,16,16,16,11,2,2,2,,5,5,3,37,33,36,19,34,37,37,37,36,37,35,37,34,14,17
2013 DUOP,12%,0%,0%,0%,0%,0%,0%,36%,27%,27%,19%,48%,14%,2%,0%,2%,2%,5%,4%,0%,0%,2%,4%,2%,9%,6%,
2013 DUOP Total ayant donné un avis,24,24,24,24,11,8,8,24,26,26,26,26,56,52,55,29,56,54,56,55,55,56,55,56,54,33,
2009 Education,12%,6%,6%,,4%,,,,,,,,45%,31%,,13%,10%,9%,24%,5%,,5%,43%,17%,9%,,
2009 Education Total ayant donné un avis,72,72,71,,71,,,,,,,,75,67,,75,77,77,74,77,,77,77,76,77,,
2011 Education,100%,0%,0%,,0%,,,,,,100%,,0%,0%,,0%,0%,0%,0%,0%,,0%,33%,0%,0%,,
2011 Education Total ayant donné un avis,1,1,1,,1,,,,,,1,,3,3,,3,3,3,3,3,,3,3,,3,,
2012 Education,13%,0%,7%,7%,13%,0%,22%,60%,,30%,14%,59%,23%,6%,10%,3%,16%,5%,8%,5%,0%,3%,3%,5%,18%,6%,3%
